Scan_Date,Rank,Ticker,Score,Price,Trend,RS,Volume,Quality,Regime,Fwd_3M,Fwd_6M,SPY_3M,SPY_6M,Alpha_3M,Alpha_6M
2025-01-01,3,WH,8.13,98.28,10,9.4,9.5,8.8,BULL_VOL,-9.3,-16.8,-4.0,6.0,-5.3,-22.8
2025-01-01,4,CSCO,8.12,57.1,10,8.6,9.5,10.0,BULL_VOL,5.1,18.3,-4.0,6.0,9.1,12.3
2025-01-01,5,SEIC,8.04,81.51,10,8.6,9.5,9.4,BULL_VOL,-6.3,11.6,-4.0,6.0,-2.3,5.6
2025-01-01,6,V,8.03,313.17,10,7.8,10.0,10.0,BULL_VOL,9.8,12.9,-4.0,6.0,13.8,6.8
2025-01-01,7,FTNT,8.02,94.48,10,9.4,10.0,7.2,BULL_VOL,2.3,8.4,-4.0,6.0,6.3,2.4
2025-01-01,8,FOXA,8.02,47.89,10,8.9,9.0,9.4,BULL_VOL,15.5,15.8,-4.0,6.0,19.5,9.8
2025-01-01,9,IDCC,7.98,190.89,10,9.4,9.5,7.6,BULL_VOL,6.0,15.2,-4.0,6.0,10.0,9.1
2025-01-01,10,SYF,7.98,63.61,10,9.0,10.0,7.6,BULL_VOL,-17.8,5.8,-4.0,6.0,-13.8,-0.2
2025-01-01,11,TPR,7.97,64.12,10,9.4,9.0,8.2,BULL_VOL,12.1,34.2,-4.0,6.0,16.1,28.2
2025-01-01,12,BYD,7.96,71.69,10,8.6,9.0,9.4,BULL_VOL,-9.2,11.4,-4.0,6.0,-5.2,5.4
2025-01-01,13,KMI,7.94,25.99,10,9.4,8.5,8.6,BULL_VOL,5.6,5.6,-4.0,6.0,9.6,-0.4
2025-01-01,14,DECK,7.9,203.09,10,9.0,9.5,7.6,BULL_VOL,-44.2,-48.1,-4.0,6.0,-40.2,-54.1
2025-01-01,15,ATEN,7.9,18.11,10,9.0,9.5,7.6,BULL_VOL,-9.4,6.3,-4.0,6.0,-5.4,0.3
2025-01-01,16,PLNT,7.89,98.87,10,9.0,9.0,8.2,BULL_VOL,-3.2,7.8,-4.0,6.0,0.8,1.7
2025-01-01,17,NFLX,7.89,89.13,10,9.0,9.0,8.2,BULL_VOL,4.2,45.1,-4.0,6.0,8.2,39.1
2025-01-01,18,DBX,7.89,30.04,10,8.6,9.5,8.2,BULL_VOL,-9.5,-7.8,-4.0,6.0,-5.5,-13.8
2025-01-01,19,FHN,7.87,19.42,10,9.0,9.5,7.4,BULL_VOL,-4.2,8.4,-4.0,6.0,-0.2,2.4
2025-01-01,20,BRBR,7.87,75.34,10,9.0,8.0,9.4,BULL_VOL,-0.3,-22.0,-4.0,6.0,3.7,-28.0
2025-02-01,1,BSX,9.72,102.36,10,8.9,10.0,10.0,BULL,0.8,3.0,-6.9,3.9,7.7,-0.9
2025-02-01,2,WMT,9.72,97.03,10,8.9,10.0,10.0,BULL,-0.5,0.9,-6.9,3.9,6.4,-3.1
2025-02-01,3,JPM,9.65,260.6,10,8.6,10.0,10.0,BULL,-7.1,9.4,-6.9,3.9,-0.1,5.5
2025-02-01,4,C,9.57,78.82,10,9.0,10.0,8.8,BULL,-15.7,14.5,-6.9,3.9,-8.8,10.5
2025-02-01,5,LYV,9.56,144.68,10,8.9,9.5,9.6,BULL,-9.2,1.0,-6.9,3.9,-2.3,-2.9
2025-02-01,6,GMED,9.47,92.72,10,9.0,9.5,8.8,BULL,-23.3,-43.2,-6.9,3.9,-16.4,-47.2
2025-02-01,7,MMM,9.46,148.71,10,8.2,10.0,9.4,BULL,-8.9,-4.2,-6.9,3.9,-2.0,-8.1
2025-02-01,8,COF,9.42,200.38,10,9.4,9.5,7.8,BULL,-11.3,2.5,-6.9,3.9,-4.3,-1.4
2025-02-01,9,UNM,9.39,74.5,10,9.0,8.5,9.6,BULL,2.1,-7.5,-6.9,3.9,9.0,-11.5
2025-02-01,10,ATEN,9.39,19.3,10,9.4,9.5,7.6,BULL,-15.8,-8.9,-6.9,3.9,-8.9,-12.8
2025-02-01,11,GPI,9.36,453.63,10,9.0,8.5,9.4,BULL,-11.1,-9.9,-6.9,3.9,-4.2,-13.9
2025-02-01,12,DASH,9.36,188.83,10,8.9,9.5,8.2,BULL,3.9,31.5,-6.9,3.9,10.8,27.6
2025-02-01,13,NFG,9.36,67.9,10,8.6,9.0,9.4,BULL,13.8,25.3,-6.9,3.9,20.8,21.4
2025-02-01,14,FFIV,9.36,297.26,10,8.9,9.5,8.2,BULL,-10.6,3.4,-6.9,3.9,-3.7,-0.5
2025-02-01,15,DBX,9.35,32.15,9,9.0,9.5,10.0,BULL,-10.3,-17.7,-6.9,3.9,-3.4,-21.6
2025-02-01,16,VRSN,9.35,212.35,10,8.2,9.0,10.0,BULL,30.1,23.8,-6.9,3.9,37.0,19.8
2025-02-01,17,EQH,9.34,52.92,10,8.6,9.5,8.6,BULL,-9.1,-7.0,-6.9,3.9,-2.1,-11.0
2025-02-01,18,GILD,9.34,94.02,10,8.0,9.5,9.6,BULL,7.0,18.1,-6.9,3.9,13.9,14.2
2025-02-01,19,NDAQ,9.34,81.08,10,7.6,10.0,9.6,BULL,-7.2,16.3,-6.9,3.9,-0.3,12.4
2025-02-01,20,MS,9.32,134.81,10,8.9,9.5,8.0,BULL,-15.0,2.0,-6.9,3.9,-8.1,-1.9
2025-03-01,1,UGI,9.85,32.41,10,9.4,10.0,10.0,BULL,6.8,3.6,-0.5,9.2,7.3,-5.6
2025-03-01,2,V,9.85,360.02,10,9.4,10.0,10.0,BULL,0.9,-2.7,-0.5,9.2,1.4,-11.9
2025-03-01,3,T,9.79,25.99,10,9.4,10.0,9.6,BULL,2.5,9.1,-0.5,9.2,3.0,-0.1
2025-03-01,4,VRSN,9.75,234.95,10,9.4,9.5,10.0,BULL,14.9,15.6,-0.5,9.2,15.4,6.4
2025-03-01,5,EXC,9.75,42.68,10,9.0,10.0,10.0,BULL,0.0,0.6,-0.5,9.2,0.5,-8.6
2025-03-01,6,ABT,9.75,135.47,10,9.0,10.0,10.0,BULL,-2.8,-3.0,-0.5,9.2,-2.3,-12.2
2025-03-01,7,GILD,9.67,110.57,10,9.4,10.0,8.8,BULL,-3.0,0.2,-0.5,9.2,-2.5,-9.0
2025-03-01,8,MMM,9.66,152.31,10,9.0,10.0,9.4,BULL,-3.9,1.2,-0.5,9.2,-3.4,-8.0
2025-03-01,9,WELL,9.66,151.0,10,9.0,10.0,9.4,BULL,1.0,10.6,-0.5,9.2,1.5,1.4
2025-03-01,10,EVRG,9.65,65.73,10,8.6,10.0,10.0,BULL,-1.6,6.5,-0.5,9.2,-1.1,-2.7
2025-03-01,11,ORLY,9.65,91.58,10,9.0,9.5,10.0,BULL,-0.4,13.2,-0.5,9.2,0.1,4.0
2025-03-01,12,BK,9.65,87.12,10,9.4,9.0,10.0,BULL,0.2,20.1,-0.5,9.2,0.7,10.9
2025-03-01,13,CME,9.65,243.21,10,9.0,9.5,10.0,BULL,14.4,6.0,-0.5,9.2,15.0,-3.2
2025-03-01,14,NI,9.65,39.72,10,8.6,10.0,10.0,BULL,-2.4,5.0,-0.5,9.2,-1.9,-4.2
2025-03-01,15,RITM,9.6,10.82,10,8.4,10.0,10.0,BULL,-6.2,6.5,-0.5,9.2,-5.7,-2.7
2025-03-01,16,PM,9.6,148.65,10,9.0,10.0,9.0,BULL,17.3,9.4,-0.5,9.2,17.8,0.2
2025-03-01,17,EFC,9.57,12.61,10,8.7,9.5,10.0,BULL,-9.7,0.9,-0.5,9.2,-9.2,-8.3
2025-03-01,18,NLY,9.57,18.53,10,8.7,9.5,10.0,BULL,-10.7,3.6,-0.5,9.2,-10.2,-5.6
2025-03-01,19,AJG,9.56,333.79,10,8.7,10.0,9.2,BULL,3.1,-10.0,-0.5,9.2,3.6,-19.2
2025-03-01,20,AEE,9.55,98.0,10,8.6,9.5,10.0,BULL,-3.9,-0.3,-0.5,9.2,-3.4,-9.5
2025-05-01,1,PM,5.0,164.23,10,10.0,10.0,10.0,BEAR_VOL,-3.4,-13.7,11.7,22.8,-15.1,-36.5
2025-05-01,2,VRSN,5.0,276.25,10,10.0,10.0,10.0,BEAR_VOL,-4.9,-13.8,11.7,22.8,-16.5,-36.6
2025-06-01,1,MNST,8.44,63.95,10,9.7,10.0,10.0,BULL_VOL,-2.4,18.8,9.8,16.1,-12.2,2.7
2025-06-01,2,EHC,8.42,120.1,10,10.0,9.5,10.0,BULL_VOL,0.9,-4.9,9.8,16.1,-8.9,-20.9
2025-06-01,3,PM,8.42,174.41,10,10.0,9.5,10.0,BULL_VOL,-6.8,-12.1,9.8,16.1,-16.5,-28.1
2025-06-01,4,CAH,8.42,152.72,10,10.0,10.0,9.4,BULL_VOL,-3.4,35.5,9.8,16.1,-13.1,19.5
2025-06-01,5,JCI,8.23,100.69,10,9.8,10.0,8.2,BULL_VOL,5.8,13.8,9.8,16.1,-3.9,-2.3
2025-06-01,6,CME,8.23,278.35,10,9.5,9.0,10.0,BULL_VOL,-7.4,-2.6,9.8,16.1,-17.1,-18.6
2025-06-01,7,USFD,8.18,79.12,10,9.2,10.0,8.8,BULL_VOL,-1.9,-2.0,9.8,16.1,-11.7,-18.1
2025-06-01,8,WRB,8.16,72.75,10,10.0,8.0,10.0,BULL_VOL,-3.2,-1.4,9.8,16.1,-13.0,-17.5
2025-06-01,9,UGI,8.16,34.6,10,9.0,10.0,9.0,BULL_VOL,-2.9,11.6,9.8,16.1,-12.7,-4.5
2025-06-01,10,SCHW,8.14,87.55,10,8.8,10.0,9.2,BULL_VOL,8.8,5.5,9.8,16.1,-1.0,-10.6
2025-06-01,11,HWM,8.14,169.58,10,10.0,10.0,7.2,BULL_VOL,2.5,17.1,9.8,16.1,-7.2,1.0
2025-06-01,12,CTVA,8.14,70.11,10,8.8,10.0,9.2,BULL_VOL,5.0,-5.3,9.8,16.1,-4.7,-21.4
2025-06-01,13,GE,8.12,244.62,10,10.0,10.0,7.0,BULL_VOL,12.1,17.6,9.8,16.1,2.3,1.5
2025-06-01,14,V,8.11,363.08,10,8.4,10.0,9.6,BULL_VOL,-3.5,-9.2,9.8,16.1,-13.3,-25.3
2025-06-01,15,DRI,8.09,207.85,10,9.5,8.5,9.6,BULL_VOL,-2.7,-17.6,9.8,16.1,-12.5,-33.7
2025-06-01,16,EXE,8.08,113.2,10,9.8,9.0,8.4,BULL_VOL,-15.4,6.8,9.8,16.1,-25.1,-9.3
2025-06-01,17,NFLX,8.07,120.72,10,10.0,9.0,8.0,BULL_VOL,0.1,-9.6,9.8,16.1,-9.7,-25.7
2025-06-01,18,CHWY,8.07,45.25,10,10.0,10.0,6.6,BULL_VOL,-9.5,-23.1,9.8,16.1,-19.2,-39.2
2025-06-01,19,FDP,8.07,34.51,10,9.6,8.0,10.0,BULL_VOL,3.6,4.9,9.8,16.1,-6.2,-11.2
2025-06-01,20,ROL,8.07,56.74,10,8.8,9.0,10.0,BULL_VOL,-1.0,7.5,9.8,16.1,-10.7,-8.6
2025-07-01,1,C,9.75,84.76,10,9.0,10.0,10.0,BULL,15.2,37.0,8.5,11.0,6.6,25.9
2025-07-01,2,GS,9.71,695.57,10,9.6,9.5,9.4,BULL,11.8,25.7,8.5,11.0,3.3,14.7
2025-07-01,3,ROK,9.69,334.92,10,9.4,9.5,9.6,BULL,3.6,15.8,8.5,11.0,-5.0,4.7
2025-07-01,4,MS,9.61,138.49,10,8.8,10.0,9.4,BULL,12.0,27.5,8.5,11.0,3.5,16.5
2025-07-01,5,TEL,9.55,169.15,10,8.6,9.5,10.0,BULL,30.7,34.1,8.5,11.0,22.1,23.1
2025-07-01,6,NDAQ,9.55,88.15,10,8.2,10.0,10.0,BULL,-2.0,9.8,8.5,11.0,-10.5,-1.2
2025-07-01,7,JPM,9.52,284.87,10,8.5,9.5,10.0,BULL,7.5,12.0,8.5,11.0,-1.0,1.0
2025-07-01,8,STT,9.51,104.79,10,8.8,9.5,9.4,BULL,6.8,21.5,8.5,11.0,-1.7,10.5
2025-07-01,9,IBM,9.5,286.03,10,9.0,9.5,9.0,BULL,-1.0,3.0,8.5,11.0,-9.5,-8.1
2025-07-01,10,JCI,9.45,104.35,10,10.0,8.0,9.0,BULL,4.0,14.4,8.5,11.0,-4.5,3.4
2025-07-01,11,CTVA,9.45,74.56,10,9.4,8.0,10.0,BULL,-18.0,-10.3,8.5,11.0,-26.5,-21.3
2025-07-01,12,MTG,9.44,27.74,10,8.5,9.5,9.4,BULL,0.2,4.8,8.5,11.0,-8.3,-6.3
2025-07-01,13,NTRS,9.42,125.73,10,10.0,9.5,6.8,BULL,3.1,8.0,8.5,11.0,-5.4,-3.0
2025-07-01,14,BEN,9.41,23.34,10,8.6,10.0,8.4,BULL,-6.1,0.9,8.5,11.0,-14.6,-10.2
2025-07-01,15,JBL,9.39,215.91,10,10.0,9.5,6.6,BULL,-0.6,5.6,8.5,11.0,-9.1,-5.5
2025-07-01,16,CAH,9.38,163.06,9,9.5,9.5,9.4,BULL,-3.6,25.4,8.5,11.0,-12.1,14.4
2025-07-01,17,PSKY,9.36,13.01,10,8.2,9.5,9.4,BULL,43.9,2.5,8.5,11.0,35.4,-8.6
2025-07-01,18,CSCO,9.34,67.55,10,8.0,9.5,9.6,BULL,0.1,12.8,8.5,11.0,-8.4,1.8
2025-07-01,19,AAMI,9.32,35.61,10,10.0,7.5,8.8,BULL,29.6,31.7,8.5,11.0,21.0,20.7
2025-07-01,20,RCL,9.31,311.41,10,10.0,10.0,5.4,BULL,0.6,-10.9,8.5,11.0,-7.9,-21.9
2025-08-01,1,BK,9.8,98.88,10,9.2,10.0,10.0,BULL,8.7,21.3,10.0,11.9,-1.3,9.3
2025-08-01,2,MSFT,9.8,521.08,10,9.2,10.0,10.0,BULL,-1.0,-17.6,10.0,11.9,-11.0,-29.5
2025-08-01,3,CSGP,9.71,94.6,10,9.2,10.0,9.4,BULL,-27.3,-35.0,10.0,11.9,-37.3,-46.9
2025-08-01,4,USFD,9.7,83.28,10,9.2,9.5,10.0,BULL,-12.8,0.4,10.0,11.9,-22.8,-11.5
2025-08-01,5,RTX,9.65,154.99,10,9.4,9.0,10.0,BULL,14.3,29.2,10.0,11.9,4.3,17.3
2025-08-01,6,GLW,9.63,61.47,10,10.0,9.5,8.2,BULL,44.1,67.6,10.0,11.9,34.1,55.7
2025-08-01,7,AHR,9.58,38.25,10,9.5,9.0,9.4,BULL,17.2,22.0,10.0,11.9,7.2,10.0
2025-08-01,8,FHI,9.57,48.25,10,9.5,8.5,10.0,BULL,-0.9,9.7,10.0,11.9,-10.9,-2.2
2025-08-01,9,ULTA,9.56,507.73,10,9.4,9.0,9.4,BULL,2.4,27.5,10.0,11.9,-7.6,15.6
2025-08-01,10,NDAQ,9.56,94.32,10,9.0,9.5,9.4,BULL,-9.9,2.4,10.0,11.9,-19.9,-9.5
2025-08-01,11,DLTR,9.54,114.72,10,9.6,10.0,7.6,BULL,-13.6,2.5,10.0,11.9,-23.6,-9.4
2025-08-01,12,WELL,9.52,164.28,10,8.5,9.5,10.0,BULL,9.4,14.3,10.0,11.9,-0.6,2.3
2025-08-01,13,DASH,9.51,248.35,10,9.5,9.5,8.2,BULL,2.4,-17.6,10.0,11.9,-7.6,-29.5
2025-08-01,14,GE,9.48,268.35,10,9.5,9.5,8.0,BULL,14.8,14.2,10.0,11.9,4.8,2.2
2025-08-01,15,TEL,9.47,200.6,9,9.8,10.0,8.8,BULL,22.8,10.7,10.0,11.9,12.8,-1.2
2025-08-01,16,INDV,9.46,21.05,10,10.0,10.0,6.4,BULL,39.5,68.1,10.0,11.9,29.5,56.1
2025-08-01,17,UGI,9.45,34.95,10,8.2,9.5,10.0,BULL,-6.3,13.6,10.0,11.9,-16.3,1.7
2025-08-01,18,SCHW,9.45,94.67,10,8.6,9.0,10.0,BULL,-0.8,9.4,10.0,11.9,-10.8,-2.5
2025-08-01,19,NI,9.44,42.02,10,8.0,10.0,9.6,BULL,-0.5,4.7,10.0,11.9,-10.5,-7.3
2025-08-01,20,BSY,9.43,56.85,10,9.7,10.0,10.0,BULL,-10.9,-38.3,10.0,11.9,-20.9,-50.3
2025-09-01,1,NEM,9.52,73.79,10,9.8,9.5,7.8,BULL,24.2,75.8,5.8,7.0,18.4,68.9
2025-09-01,2,AHR,9.51,42.09,10,9.5,9.5,8.2,BULL,18.6,23.5,5.8,7.0,12.8,16.5
2025-09-01,3,MS,9.48,148.75,10,8.3,10.0,9.4,BULL,12.6,11.9,5.8,7.0,6.9,5.0
2025-09-01,4,INDV,9.46,24.28,10,10.0,10.0,6.4,BULL,38.4,34.8,5.8,7.0,32.6,27.8
2025-09-01,5,STT,9.43,112.64,10,8.2,10.0,9.2,BULL,3.5,13.4,5.8,7.0,-2.3,6.5
2025-09-01,6,SGI,9.43,83.64,10,9.2,9.5,8.2,BULL,11.2,6.8,5.8,7.0,5.5,-0.1
2025-09-01,7,CTRE,9.42,33.41,10,8.4,10.0,8.8,BULL,9.2,20.3,5.8,7.0,3.5,13.3
2025-09-01,8,HALO,9.4,73.15,10,8.7,10.0,8.2,BULL,-6.9,-4.9,5.8,7.0,-12.7,-11.9
2025-09-01,9,MO,9.38,63.88,10,7.5,10.0,10.0,BULL,-10.6,6.3,5.8,7.0,-16.3,-0.7
2025-09-01,10,BK,9.38,104.62,10,8.3,9.5,9.4,BULL,6.4,13.8,5.8,7.0,0.7,6.9
2025-09-01,11,LNC,9.37,41.47,10,8.6,9.5,8.8,BULL,-3.8,-18.4,5.8,7.0,-9.5,-25.3
2025-09-01,12,NEU,9.36,816.75,10,9.5,8.0,9.2,BULL,-8.0,-23.7,5.8,7.0,-13.7,-30.7
2025-09-01,13,COF,9.34,225.5,10,8.3,10.0,8.4,BULL,-2.6,-13.2,5.8,7.0,-8.4,-20.2
2025-09-01,14,GLW,9.32,66.68,9,9.6,9.5,8.8,BULL,24.1,125.5,5.8,7.0,18.3,118.6
2025-09-01,15,BNL,9.32,17.7,10,7.7,9.5,10.0,BULL,-4.4,7.8,5.8,7.0,-10.1,0.9
2025-09-01,16,HAS,9.31,79.87,10,8.4,9.0,9.4,BULL,2.8,24.7,5.8,7.0,-2.9,17.7
2025-09-01,17,LAUR,9.26,27.48,10,9.0,9.5,7.4,BULL,13.3,17.7,5.8,7.0,7.6,10.7
2025-09-01,18,AWI,9.2,195.03,10,9.2,7.0,10.0,BULL,-3.2,-11.2,5.8,7.0,-8.9,-18.2
2025-09-01,19,TEL,9.16,205.87,10,9.0,7.5,9.4,BULL,9.3,11.8,5.8,7.0,3.6,4.8
2025-09-01,20,JNJ,9.1,175.12,10,6.8,9.5,10.0,BULL,16.6,41.9,5.8,7.0,10.9,34.9
2025-10-01,1,TEL,9.76,221.01,10,9.8,9.5,9.4,BULL,2.6,-4.2,2.3,-1.4,0.3,-2.8
2025-10-01,2,GLW,9.73,82.68,10,10.0,10.0,8.2,BULL,5.7,72.2,2.3,-1.4,3.4,73.6
2025-10-01,3,ABBV,9.56,240.69,10,8.6,10.0,9.4,BULL,-5.8,-10.7,2.3,-1.4,-8.1,-9.3
2025-10-01,4,JNJ,9.5,183.9,10,8.4,9.5,10.0,BULL,11.9,32.7,2.3,-1.4,9.6,34.2
2025-10-01,5,NEM,9.49,85.53,10,10.0,10.0,6.6,BULL,16.5,33.0,2.3,-1.4,14.2,34.5
